Level,Date and Time,Source,Event ID,Task Category
Error,31-10-2023 09:40:35,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
Information,31-10-2023 09:40:35,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 2 to 4.

Reason PolicyChange 

BootId: 59"
Information,31-10-2023 09:40:35,Microsoft-Windows-Kernel-Power,507,(158),"The system is exiting Modern Standby 

Reason: Lid."
Information,31-10-2023 09:40:35,Microsoft-Windows-Kernel-Power,506,(157),"The system is entering Modern Standby 

Reason: Sleep, Hibernate, or Shutdown."
Information,31-10-2023 09:40:35,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 1 to 2.

Reason SxTransition 

BootId: 59"
Information,31-10-2023 09:40:35,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,31-10-2023 09:40:35,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
Information,31-10-2023 09:40:35,Microsoft-Windows-Kernel-Boot,30,(21),The firmware reported boot metrics.
Information,31-10-2023 09:40:35,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Error,31-10-2023 09:40:34,Microsoft-Windows-NDIS,10317,PnP,"Miniport Microsoft Wi-Fi Direct Virtual Adapter #2, {c73ec2a1-57fb-47b6-ad07-a450f4ec0f12}, had event Fatal error: The miniport has failed a power transition to operational power"
Information,31-10-2023 09:40:34,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 09:40:34,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2023‎-‎10‎-‎31T04:10:34.500000000Z from ‎2023‎-‎10‎-‎30T19:52:17.044509200Z.
Time Delta: 29897455 ms

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4).

RTC time: ‎2023‎-‎10‎-‎31T09:40:34.500000000Z
Current time zone bias: -330
RTC time is in UTC: false
System time was based on RTC time: false"
Information,31-10-2023 01:22:17,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,31-10-2023 01:22:14,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Button or Lid"
Information,31-10-2023 01:22:14,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 0 to 1.

Reason ScreenOffGracePeriod 

BootId: 59"
Warning,31-10-2023 01:15:45,hcmon,0,None,Detected unrecognized USB driver (\Driver\USBPcap).
Information,31-10-2023 01:12:13,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Provisioning\Microsoft-Desktop-Provisioning-Sequence.dat was cleared updating 0 keys and creating 0 modified pages.
Information,31-10-2023 01:08:14,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,31-10-2023 01:05:56,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,31-10-2023 01:05:45,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,31-10-2023 01:03:40,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Warning,31-10-2023 01:00:40,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.WscDataProtection
 and APPID 
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,31-10-2023 01:00:40,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.WscBrokerManager
 and APPID 
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,31-10-2023 01:00:40,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.SecurityAppBroker
 and APPID 
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Error,31-10-2023 01:00:36,Microsoft-Windows-DistributedCOM,10010,None,The server {8CFC164F-4BE5-4FDD-94E9-E2AF73ED4A19} did not register with DCOM within the required timeout.
Information,31-10-2023 01:00:05,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.399.1581.0) - Current Channel (Broad)
Information,31-10-2023 01:00:05,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  MpKslb0b49fc7
Service File Name:  C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{E8AB065E-BD0E-4312-ADDB-07C39CA1C15F}\MpKslDrv.sys
Service Type:  kernel mode driver
Service Start Type:  demand start
Service Account:  "
Warning,31-10-2023 01:00:02,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-SGF9A33\chana SID (S-1-5-21-3444099338-3253721846-659789935-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,31-10-2023 00:59:52,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.399.1581.0) - Current Channel (Broad)
Information,31-10-2023 00:59:52,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,31-10-2023 00:59:47,BTHUSB,37,None,An incoming authentication request from a remote device (44:8c:00:79:3b:ca) was rejected.
Warning,31-10-2023 00:59:43,Microsoft-Windows-Kernel-Processor-Power,37,(7),The speed of processor 7 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 71 seconds since the last report.
Warning,31-10-2023 00:59:27,Netwtw08,6062,None,6062 - Lso was triggered
Information,31-10-2023 00:59:26,Netwtw08,7003,None,7003 - Roam Complete
Information,31-10-2023 00:59:26,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Error,31-10-2023 00:59:16,BTHUSB,16,None,The mutual authentication between the local Bluetooth adapter and a device with Bluetooth adapter address (44:8c:00:79:3b:ca) failed.
Information,31-10-2023 00:59:07,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Information,31-10-2023 00:59:06,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Warning,31-10-2023 00:58:47,hcmon,0,None,Detected unrecognized USB driver (\Driver\USBPcap).
Warning,31-10-2023 00:58:47,Netwtw08,6062,None,6062 - Lso was triggered
Information,31-10-2023 00:58:45,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 00:58:45,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 00:58:45,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 00:58:45,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 00:58:45,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 00:58:45,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 00:58:44,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Warning,31-10-2023 00:58:43,hcmon,0,None,Detected unrecognized USB driver (\Driver\USBPcap).
Information,31-10-2023 00:58:43,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 00:58:43,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 00:58:42,Microsoft-Windows-TPM-WMI,1025,None,The TPM was successfully provisioned and is now ready for use.
Information,31-10-2023 00:58:42,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 00:58:42,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 00:58:42,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 00:58:42,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 00:58:41,Microsoft-Windows-TPM-WMI,1282,None,The TBS device identifier has been generated.
Warning,31-10-2023 00:58:40,hcmon,0,None,Detected unrecognized USB driver (\Driver\USBPcap).
Information,31-10-2023 00:58:39,TPM,18,None,This event triggers the Trusted Platform Module (TPM) provisioning/status check to run.
Information,31-10-2023 00:58:39,Service Control Manager,7026,None,"The following boot-start or system-start driver(s) did not load: 
WinSetupMon"
Warning,31-10-2023 00:58:39,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,31-10-2023 00:58:39,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,31-10-2023 00:58:38,Microsoft-Windows-WLAN-AutoConfig,10001,None,"WLAN Extensibility Module has successfully started.

Module Path: C:\WINDOWS\system32\IntelIHVRouter08.dll
"
Information,31-10-2023 00:58:38,Microsoft-Windows-UserModePowerService,12,(10),Process C:\Windows\System32\DriverStore\FileRepository\dptf_cpu.inf_amd64_4a3ae74cfa6c37d6\esif_uf.exe (process ID:5360) reset policy scheme from {381b4222-f694-41f0-9685-ff5bb260df2e} to {381b4222-f694-41f0-9685-ff5bb260df2e}
Warning,31-10-2023 00:58:38,hcmon,0,None,Detected unrecognized USB driver (\Driver\USBPcap).
Warning,31-10-2023 00:58:38,hcmon,0,None,Detected unrecognized USB driver (\Driver\USBPcap).
Information,31-10-2023 00:58:38,Microsoft-Windows-UserModePowerService,12,(10),Process C:\Windows\System32\DriverStore\FileRepository\dptf_cpu.inf_amd64_4a3ae74cfa6c37d6\esif_uf.exe (process ID:5360) reset policy scheme from {381b4222-f694-41f0-9685-ff5bb260df2e} to {381b4222-f694-41f0-9685-ff5bb260df2e}
Information,31-10-2023 00:58:38,Microsoft-Windows-UserModePowerService,12,(10),Process C:\Windows\System32\DriverStore\FileRepository\dptf_cpu.inf_amd64_4a3ae74cfa6c37d6\esif_uf.exe (process ID:5360) reset policy scheme from {381b4222-f694-41f0-9685-ff5bb260df2e} to {381b4222-f694-41f0-9685-ff5bb260df2e}
Warning,31-10-2023 00:58:38,hcmon,0,None,Detected unrecognized USB driver (\Driver\USBPcap).
Information,31-10-2023 00:58:38,Microsoft-Windows-WLAN-AutoConfig,4000,None,"WLAN AutoConfig service has successfully started.
"
Information,31-10-2023 00:58:38,vmx86,34,None,"The description for Event ID 34 from source vmx86 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

VMX86.SYS: begin DriverEntry

The message resource is present but the message was not found in the message table
"
Information,31-10-2023 00:58:37,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:10243/WMPNSSv4/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,31-10-2023 00:58:37,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL https://+:10245/WMPNSSv4/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,31-10-2023 00:58:37,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:10247/apps/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,31-10-2023 00:58:37,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL https://+:443/sra_{BA195980-CD49-458b-9E23-C84EE0ADCD75}/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,31-10-2023 00:58:37,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:3387/rdp/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,31-10-2023 00:58:37,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL https://+:3392/rdp/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,31-10-2023 00:58:37,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:10246/MDEServer/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,31-10-2023 00:58:37,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2869/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,31-10-2023 00:58:37,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:5985/wsman/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,31-10-2023 00:58:37,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:47001/wsman/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,31-10-2023 00:58:37,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL https://+:5986/wsman/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,31-10-2023 00:58:37,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL https://*:5358/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,31-10-2023 00:58:37,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:80/Temporary_Listen_Addresses/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,31-10-2023 00:58:37,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:5357/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,31-10-2023 00:58:37,Microsoft-Windows-Hyper-V-VmSwitch,277,None,"vmswitch.sys build 22621.amd64.ni_release_svc_prod3, debug false, official true, 1 1"
Information,31-10-2023 00:58:37,VMnetuserif,1,None,() Starting up the User Interface Driver for VMware Virtual Networks.
Information,31-10-2023 00:58:37,VMnetBridge,10,None,() Starting up the Bridge Driver for VMware Virtual Networks.
Information,31-10-2023 00:58:37,Microsoft-Windows-Winlogon,7001,(1101),User Logon Notification for Customer Experience Improvement Program
Information,31-10-2023 00:58:36,Microsoft-Windows-FilterManager,6,None,"File System Filter 'bindflt' (10.0, ‎2032‎-‎10‎-‎20T06:52:30.000000000Z) has successfully loaded and registered with Filter Manager."
Information,31-10-2023 00:58:36,Microsoft-Windows-FilterManager,6,None,"File System Filter 'storqosflt' (10.0, ‎2039‎-‎04‎-‎22T07:06:38.000000000Z) has successfully loaded and registered with Filter Manager."
Information,31-10-2023 00:58:36,Microsoft-Windows-FilterManager,6,None,"File System Filter 'CldFlt' (10.0, ‎2095‎-‎09‎-‎03T12:58:17.000000000Z) has successfully loaded and registered with Filter Manager."
Information,31-10-2023 00:58:36,Microsoft-Windows-FilterManager,1,None,"File System Filter 'CldFlt' (Version 10.0, ‎2095‎-‎09‎-‎03T12:58:17.000000000Z) unloaded successfully."
Information,31-10-2023 00:58:36,Microsoft-Windows-FilterManager,6,None,"File System Filter 'CldFlt' (10.0, ‎2095‎-‎09‎-‎03T12:58:17.000000000Z) has successfully loaded and registered with Filter Manager."
Information,31-10-2023 00:58:36,Microsoft-Windows-FilterManager,6,None,"File System Filter 'luafv' (10.0, ‎2059‎-‎02‎-‎13T14:58:11.000000000Z) has successfully loaded and registered with Filter Manager."
Information,31-10-2023 00:58:36,Microsoft-Windows-FilterManager,6,None,"File System Filter 'wcifs' (10.0, ‎2089‎-‎07‎-‎06T23:12:00.000000000Z) has successfully loaded and registered with Filter Manager."
Information,31-10-2023 00:58:36,Microsoft-Windows-FilterManager,6,None,"File System Filter 'bfs' (10.0, ‎1989‎-‎12‎-‎07T16:11:03.000000000Z) has successfully loaded and registered with Filter Manager."
Information,31-10-2023 00:58:36,Microsoft-Windows-DHCPv6-Client,51046,Service State Event,DHCPv6 client service is started
Information,31-10-2023 00:58:36,Microsoft-Windows-Dhcp-Client,50036,Service State Event,DHCPv4 client service is started
Information,31-10-2023 00:58:36,Microsoft-Windows-Dhcp-Client,50103,Service State Event,DHCPv4 client registered for shutdown notification
Information,31-10-2023 00:58:36,Microsoft-Windows-Dhcp-Client,50036,Service State Event,DHCPv4 client service is started
Information,31-10-2023 00:58:36,Win32k,267,None,Touch/Touchpad Hardware Quality Assurance verification succeeded.
Information,31-10-2023 00:58:35,Win32k,267,None,Touch/Touchpad Hardware Quality Assurance verification succeeded.
Information,31-10-2023 00:58:35,Microsoft-Windows-Directory-Services-SAM,16983,None,"The security account manager is now logging periodic summary events for remote clients that call legacy password change or set RPC methods.

For more information please see https://go.microsoft.com/fwlink/?linkid=2150956.
"
Information,31-10-2023 00:58:35,Microsoft-Windows-Directory-Services-SAM,16977,None,"The domain is configured with the following minimum password length-related settings.

MinimumPasswordLength: 0

RelaxMinimumPasswordLengthLimits: 0

MinimumPasswordLengthAudit: -1

For more information see https://go.microsoft.com/fwlink/?LinkId=2097191.
"
Information,31-10-2023 00:58:35,Microsoft-Windows-Directory-Services-SAM,16962,None,"Remote calls to the SAM database are being restricted using the default security descriptor: O:SYG:SYD:(A;;RC;;;BA).
For more information please see http://go.microsoft.com/fwlink/?LinkId=787651."
Warning,31-10-2023 00:58:35,LsaSrv,6155,None,"LSA package is not signed as expected. This can cause unexpected behavior with Credential Guard.

PackageName: msv1_0"
Information,31-10-2023 00:58:35,Microsoft-Windows-IsolatedUserMode,5,None,Secure Trustlet NULL Id 0 and Pid 0 started with status STATUS_SUCCESS.
Warning,31-10-2023 00:58:35,LsaSrv,6155,None,"LSA package is not signed as expected. This can cause unexpected behavior with Credential Guard.

PackageName: sfapm"
Warning,31-10-2023 00:58:35,LsaSrv,6155,None,"LSA package is not signed as expected. This can cause unexpected behavior with Credential Guard.

PackageName: schannel"
Warning,31-10-2023 00:58:35,LsaSrv,6155,None,"LSA package is not signed as expected. This can cause unexpected behavior with Credential Guard.

PackageName: wdigest"
Warning,31-10-2023 00:58:35,LsaSrv,6155,None,"LSA package is not signed as expected. This can cause unexpected behavior with Credential Guard.

PackageName: cloudap"
Warning,31-10-2023 00:58:35,LsaSrv,6155,None,"LSA package is not signed as expected. This can cause unexpected behavior with Credential Guard.

PackageName: pku2u"
Warning,31-10-2023 00:58:35,LsaSrv,6155,None,"LSA package is not signed as expected. This can cause unexpected behavior with Credential Guard.

PackageName: tspkg"
Warning,31-10-2023 00:58:35,LsaSrv,6155,None,"LSA package is not signed as expected. This can cause unexpected behavior with Credential Guard.

PackageName: msv1_0"
Warning,31-10-2023 00:58:35,LsaSrv,6155,None,"LSA package is not signed as expected. This can cause unexpected behavior with Credential Guard.

PackageName: kerberos"
Warning,31-10-2023 00:58:35,LsaSrv,6155,None,"LSA package is not signed as expected. This can cause unexpected behavior with Credential Guard.

PackageName: negoexts"
Information,31-10-2023 00:58:35,LsaSrv,6156,None,"Virtualization Based Security for Credential Guard auto enablement status.

Hardware Requirements:	1
Domain Joined:	0
Azure AD Joined:	0"
Information,31-10-2023 00:58:35,Microsoft-Windows-Wininit,18,None,VBS Key Isolation was started and will protect VSM-isolated keys.
Information,31-10-2023 00:58:35,Microsoft-Windows-IsolatedUserMode,1,None,Secure Trustlet \??\C:\WINDOWS\system32\lsaiso.exe Id 1 and Pid 336 started with status STATUS_SUCCESS.
Information,31-10-2023 00:58:35,Microsoft-Windows-IsolatedUserMode,5,None,Secure Trustlet NULL Id 0 and Pid 0 started with status STATUS_SUCCESS.
Information,31-10-2023 00:58:35,Microsoft-Windows-Wininit,14,None,"Credential Guard configuration:

Registry Configuration: 0x2
Test Configuration: 0
Auto Enablement: 1"
Information,31-10-2023 00:58:34,Microsoft-Windows-Kernel-General,24,(11),The time zone information was refreshed with exit reason 0. Current time zone bias is -330.
Information,31-10-2023 00:58:33,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Warning,31-10-2023 00:58:33,Microsoft-Windows-Kernel-PnP,219,(212),The driver \Driver\WUDFRd failed to load for the device {DD8E82AE-334B-49A2-AEAE-AEB0FD5C40DD}\DetectionVerification\5&fef3e62&0&0.
Information,31-10-2023 00:58:33,Microsoft-Windows-DriverFrameworks-UserMode,10118,Startup of the UMDF reflector,"UMDF reflector is unable to connect to service control manager (SCM). This is expected during boot, when SCM has not started yet. Will retry when it starts."
Information,31-10-2023 00:58:33,MEIx64,2,None,"The description for Event ID 2 from source MEIx64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 


The message resource is present but the message was not found in the message table
"
Information,31-10-2023 00:58:32,Netwtw08,7017,None,7017 - secure boot (SB) configuration
Information,31-10-2023 00:58:32,Netwtw08,7010,None,7010 - driver enabled (miniport init)
Information,31-10-2023 00:58:32,Microsoft-Windows-Kernel-Power,521,(220),Active battery count change.
Information,31-10-2023 00:58:32,Microsoft-Windows-Kernel-Power,521,(220),Active battery count change.
Information,31-10-2023 00:58:32,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 7 in group 0 exposes the following power management capabilities:

Idle state type: Micro Power Engine Plugin (11 state(s))

Performance state type: ACPI Collaborative Processor Performance Control
Nominal Frequency (MHz): 2304
Maximum performance percentage: 213
Minimum performance percentage: 60
Minimum throttle percentage: 4"
Information,31-10-2023 00:58:32,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 5 in group 0 exposes the following power management capabilities:

Idle state type: Micro Power Engine Plugin (11 state(s))

Performance state type: ACPI Collaborative Processor Performance Control
Nominal Frequency (MHz): 2304
Maximum performance percentage: 213
Minimum performance percentage: 56
Minimum throttle percentage: 4"
Information,31-10-2023 00:58:32,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 3 in group 0 exposes the following power management capabilities:

Idle state type: Micro Power Engine Plugin (11 state(s))

Performance state type: ACPI Collaborative Processor Performance Control
Nominal Frequency (MHz): 2304
Maximum performance percentage: 213
Minimum performance percentage: 56
Minimum throttle percentage: 4"
Information,31-10-2023 00:58:32,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 1 in group 0 exposes the following power management capabilities:

Idle state type: Micro Power Engine Plugin (11 state(s))

Performance state type: ACPI Collaborative Processor Performance Control
Nominal Frequency (MHz): 2304
Maximum performance percentage: 213
Minimum performance percentage: 56
Minimum throttle percentage: 4"
Information,31-10-2023 00:58:32,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 6 in group 0 exposes the following power management capabilities:

Idle state type: Micro Power Engine Plugin (11 state(s))

Performance state type: ACPI Collaborative Processor Performance Control
Nominal Frequency (MHz): 2304
Maximum performance percentage: 213
Minimum performance percentage: 56
Minimum throttle percentage: 4"
Information,31-10-2023 00:58:32,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 4 in group 0 exposes the following power management capabilities:

Idle state type: Micro Power Engine Plugin (11 state(s))

Performance state type: ACPI Collaborative Processor Performance Control
Nominal Frequency (MHz): 2304
Maximum performance percentage: 213
Minimum performance percentage: 56
Minimum throttle percentage: 4"
Information,31-10-2023 00:58:32,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 2 in group 0 exposes the following power management capabilities:

Idle state type: Micro Power Engine Plugin (11 state(s))

Performance state type: ACPI Collaborative Processor Performance Control
Nominal Frequency (MHz): 2304
Maximum performance percentage: 213
Minimum performance percentage: 56
Minimum throttle percentage: 4"
Information,31-10-2023 00:58:32,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 0 in group 0 exposes the following power management capabilities:

Idle state type: Micro Power Engine Plugin (11 state(s))

Performance state type: ACPI Collaborative Processor Performance Control
Nominal Frequency (MHz): 2304
Maximum performance percentage: 213
Minimum performance percentage: 17
Minimum throttle percentage: 4"
Information,31-10-2023 00:58:32,Netwtw08,7002,None,7002 - CTDP power limit value (SPLC)
Information,31-10-2023 00:58:32,Netwtw08,7005,None,7005 - SAR value max TX power (WRDS)
Information,31-10-2023 00:58:32,Netwtw08,7036,None,The \Device\NDMP6 service entered the Intel(R) Wireless-AC 9462 state.
Warning,31-10-2023 00:58:31,Microsoft-Windows-Kernel-PnP,219,(212),The driver \Driver\WUDFRd failed to load for the device PCI\VEN_8086&DEV_1903&SUBSYS_19411D72&REV_0C\3&11583659&0&20.
Information,31-10-2023 00:58:31,Microsoft-Windows-DriverFrameworks-UserMode,10118,Startup of the UMDF reflector,"UMDF reflector is unable to connect to service control manager (SCM). This is expected during boot, when SCM has not started yet. Will retry when it starts."
Information,31-10-2023 00:58:31,VMnetAdapter,36,None,() Starting up the Adapter Driver for VMware Virtual Networks.
Information,31-10-2023 00:58:31,Microsoft-Windows-Kernel-Power,125,(86),"ACPI thermal zone \_TZ.TZ00 has been enumerated.             
_PSV = 0K             
_TC1 = 0             
_TC2 = 0             
_TSP = 0ms             
_AC0 = 0K             
_AC1 = 0K             
_AC2 = 0K             
_AC3 = 0K             
_AC4 = 0K             
_AC5 = 0K             
_AC6 = 0K             
_AC7 = 0K             
_AC8 = 0K             
_AC9 = 0K             
_CRT = 399K             
_HOT = 0K             
minimum throttle = 0             
_CR3 = 0K"
Information,31-10-2023 00:58:31,Microsoft-Windows-Kernel-Power,125,(86),"ACPI thermal zone \_TZ.TZ01 has been enumerated.             
_PSV = 371K             
_TC1 = 0             
_TC2 = 50             
_TSP = 0ms             
_AC0 = 0K             
_AC1 = 0K             
_AC2 = 0K             
_AC3 = 0K             
_AC4 = 0K             
_AC5 = 0K             
_AC6 = 0K             
_AC7 = 0K             
_AC8 = 0K             
_AC9 = 0K             
_CRT = 393K             
_HOT = 0K             
minimum throttle = 0             
_CR3 = 0K"
Information,31-10-2023 00:58:31,Microsoft-Windows-FilterManager,6,None,"File System Filter 'npsvctrig' (10.0, ‎1979‎-‎12‎-‎19T21:42:41.000000000Z) has successfully loaded and registered with Filter Manager."
Information,31-10-2023 00:58:31,VfpExt,7036,None,The  service entered the Driver load complete state.
Information,31-10-2023 00:58:31,VfpExt,7036,None,The  service entered the Driver load start state.
Information,31-10-2023 00:58:30,Microsoft-Windows-FilterManager,6,None,"File System Filter 'FileCrypt' (10.0, ‎1983‎-‎08‎-‎19T08:28:35.000000000Z) has successfully loaded and registered with Filter Manager."
Information,31-10-2023 00:58:30,Microsoft-Windows-Ntfs,98,None,Volume C: (\Device\HarddiskVolume2) is healthy.  No action is needed.
